day,rep,treatfact,treatnum,count
3,1,C,0,13
5,1,C,0,16
7,1,C,0,19
10,1,C,0,119
12,1,C,0,151
14,1,C,0,169
17,1,C,0,192
19,1,C,0,164
21,1,C,0,151
24,1,C,0,159
26,1,C,0,161
28,1,C,0,155
31,1,C,0,143
33,1,C,0,133
35,1,C,0,138
38,1,C,0,115
40,1,C,0,106
42,1,C,0,81
45,1,C,0,58
47,1,C,0,55
49,1,C,0,52
52,1,C,0,38
54,1,C,0,32
56,1,C,0,35
59,1,C,0,47
61,1,C,0,46
63,1,C,0,81
66,1,C,0,121
68,1,C,0,132
70,1,C,0,136
3,2,C,0,10
5,2,C,0,23
7,2,C,0,33
10,2,C,0,164
12,2,C,0,166
14,2,C,0,153
17,2,C,0,188
19,2,C,0,148
21,2,C,0,129
24,2,C,0,154
26,2,C,0,141
28,2,C,0,149
31,2,C,0,156
33,2,C,0,135
35,2,C,0,144
38,2,C,0,128
40,2,C,0,100
42,2,C,0,76
45,2,C,0,69
47,2,C,0,41
49,2,C,0,39
52,2,C,0,29
54,2,C,0,28
56,2,C,0,28
59,2,C,0,47
61,2,C,0,59
63,2,C,0,96
66,2,C,0,168
68,2,C,0,166
70,2,C,0,172
3,3,C,0,12
5,3,C,0,16
7,3,C,0,19
10,3,C,0,62
12,3,C,0,175
14,3,C,0,207
17,3,C,0,182
19,3,C,0,134
21,3,C,0,137
24,3,C,0,129
26,3,C,0,125
28,3,C,0,126
31,3,C,0,123
33,3,C,0,110
35,3,C,0,114
38,3,C,0,112
40,3,C,0,88
42,3,C,0,77
45,3,C,0,66
47,3,C,0,65
49,3,C,0,58
52,3,C,0,48
54,3,C,0,41
56,3,C,0,45
59,3,C,0,47
61,3,C,0,51
63,3,C,0,57
66,3,C,0,123
68,3,C,0,130
70,3,C,0,136
3,4,C,0,11
5,4,C,0,22
7,4,C,0,44
10,4,C,0,71
12,4,C,0,164
14,4,C,0,168
17,4,C,0,157
19,4,C,0,110
21,4,C,0,155
24,4,C,0,144
26,4,C,0,130
28,4,C,0,149
31,4,C,0,131
33,4,C,0,120
35,4,C,0,119
38,4,C,0,115
40,4,C,0,91
42,4,C,0,81
45,4,C,0,69
47,4,C,0,68
49,4,C,0,62
52,4,C,0,55
54,4,C,0,55
56,4,C,0,51
59,4,C,0,45
61,4,C,0,44
63,4,C,0,67
66,4,C,0,116
68,4,C,0,108
70,4,C,0,120
3,5,C,0,8
5,5,C,0,15
7,5,C,0,36
10,5,C,0,147
12,5,C,0,204
14,5,C,0,210
17,5,C,0,174
19,5,C,0,128
21,5,C,0,129
24,5,C,0,143
26,5,C,0,130
28,5,C,0,132
31,5,C,0,131
33,5,C,0,131
35,5,C,0,124
38,5,C,0,129
40,5,C,0,126
42,5,C,0,108
45,5,C,0,97
